1, MARY, SMITH, MARY.SMITH@sakilacustomer.org,1913 Hanoi Way,30,Teacher,1
2, PATRICIA, JOHNSON, PATRICIA.JOHNSON@sakilacustomer.org,1121 Loja Avenue,20,Doctor,1
3, LINDA, WILLIAMS, LINDA.WILLIAMS@sakilacustomer.org,692 Joliet Street,34,Doctor,1
4, BARBARA, JONES, BARBARA.JONES@sakilacustomer.org,1566 Inegl Manor,50,Doctor,1
5, ELIZABETH, BROWN, ELIZABETH.BROWN@sakilacustomer.org,53 Idfu Parkway,45,Doctor,1
6, JENNIFER, DAVIS, JENNIFER.DAVIS@sakilacustomer.org,1795 Santiago de Compostela Way,66,Doctor,1
7, MARIA, MILLER, MARIA.MILLER@sakilacustomer.org,900 Santiago de Compostela Parkway,33,Doctor,1
8, SUSAN, WILSON, SUSAN.WILSON@sakilacustomer.org,478 Joliet Way,30,Doctor,1
9, MARGARET, MOORE, MARGARET.MOORE@sakilacustomer.org,613 Korolev Drive,36,Doctor,1
10, DOROTHY, TAYLOR, DOROTHY.TAYLOR@sakilacustomer.org,1531 Sal Drive,45,Doctor,1
11, LISA, ANDERSON, LISA.ANDERSON@sakilacustomer.org,1542 Tarlac Parkway,33,Doctor,1
12, NANCY, THOMAS, NANCY.THOMAS@sakilacustomer.org,808 Bhopal Manor,32,Doctor,1
13, KAREN, JACKSON, KAREN.JACKSON@sakilacustomer.org,270 Amroha Parkway,23,Doctor,1
14, BETTY, WHITE, BETTY.WHITE@sakilacustomer.org,770 Bydgoszcz Avenue,25,Doctor,1
15, HELEN, HARRIS, HELEN.HARRIS@sakilacustomer.org,419 Iligan Lane,68,Businessman,1
16, SANDRA, MARTIN, SANDRA.MARTIN@sakilacustomer.org,360 Toulouse Parkway,45,Businessman,1
17, DONNA, THOMPSON, DONNA.THOMPSON@sakilacustomer.org,270 Toulon Boulevard,43,Businessman,1
18, CAROL, GARCIA, CAROL.GARCIA@sakilacustomer.org,320 Brest Avenue,22,Businessman,1
19, RUTH, MARTINEZ, RUTH.MARTINEZ@sakilacustomer.org,1417 Lancaster Avenue,22,Businessman,1
